Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PG,9,0,23.6,2.9,4.9,0.591,1.2,2.8,0.44,1.7,2.1,0.789,0.716,0.8,1.2,0.636,1.4,2.4,3.9,2.4,1.6,0.8,1.0,2.6,7.8
SG,8,2,25.8,2.8,6.3,0.44,1.4,3.4,0.407,1.4,2.9,0.478,0.55,0.9,1.8,0.5,0.6,1.9,2.5,1.9,1.1,0.3,1.1,2.0,7.8
SG,5,0,24.2,2.4,7.4,0.324,1.8,5.8,0.31,0.6,1.6,0.375,0.446,1.2,1.2,1.0,0.4,3.2,3.6,2.6,0.8,0.0,1.0,0.4,7.8
C,6,0,12.7,3.5,5.5,0.636,0.0,0.2,0.0,3.5,5.3,0.656,0.636,0.8,1.2,0.714,1.5,1.8,3.3,0.2,0.2,0.5,1.0,0.8,7.8
PF,8,1,23.5,2.6,5.4,0.488,1.3,3.0,0.417,1.4,2.4,0.579,0.605,1.3,2.1,0.588,0.8,5.6,6.4,1.1,0.4,0.8,1.4,2.3,7.8
SF,6,0,17.3,2.8,5.0,0.567,1.3,2.8,0.471,1.5,2.2,0.692,0.7,0.7,0.8,0.8,0.8,0.8,1.7,0.8,0.2,0.0,0.5,2.0,7.7
SG,9,0,19.6,2.8,6.2,0.446,0.4,1.8,0.25,2.3,4.4,0.525,0.482,1.7,2.4,0.682,1.1,3.7,4.8,2.4,0.6,0.3,0.6,1.4,7.7
SG,6,0,12.7,2.2,5.8,0.371,1.2,3.3,0.35,1.0,2.5,0.4,0.471,2.2,2.7,0.813,0.2,1.5,1.7,1.3,0.2,0.0,0.3,0.7,7.7
SG,3,0,14.3,3.0,5.3,0.563,1.7,4.0,0.417,1.3,1.3,1.0,0.719,0.0,0.3,0.0,0.0,1.0,1.0,2.0,0.7,0.3,0.0,2.0,7.7
PF,7,0,25.9,3.1,5.9,0.537,0.3,1.1,0.25,2.9,4.7,0.606,0.561,1.0,1.4,0.7,0.9,2.9,3.7,4.7,1.1,0.9,1.6,1.6,7.6
SG,7,7,27.0,2.6,8.7,0.295,1.6,4.9,0.324,1.0,3.9,0.259,0.385,0.9,1.3,0.667,0.4,2.9,3.3,4.4,1.3,0.3,1.3,2.3,7.6
SG,8,8,23.9,2.8,6.6,0.415,2.0,5.5,0.364,0.8,1.1,0.667,0.566,0.0,0.1,0.0,0.1,1.5,1.6,1.1,0.8,0.0,0.5,1.6,7.5
C,5,5,22.4,2.8,3.4,0.824,0.0,0.0,,2.8,3.4,0.824,0.824,1.8,3.0,0.6,2.4,4.2,6.6,1.0,0.0,2.6,1.6,4.2,7.4
C,9,0,20.4,2.8,4.7,0.595,0.8,1.9,0.412,2.0,2.8,0.72,0.679,1.1,1.3,0.833,1.9,3.2,5.1,3.6,1.1,0.1,1.8,3.1,7.4
C,3,0,21.7,3.0,8.0,0.375,0.3,1.7,0.2,2.7,6.3,0.421,0.396,1.0,1.0,1.0,2.7,5.3,8.0,1.3,0.0,0.3,2.0,2.7,7.3
SG,8,0,19.4,2.5,6.8,0.37,1.6,4.4,0.371,0.9,2.4,0.368,0.491,0.6,1.1,0.556,0.9,2.5,3.4,1.6,1.0,0.4,1.3,1.8,7.3
SG,9,1,21.9,2.7,6.3,0.421,1.2,3.7,0.333,1.4,2.7,0.542,0.518,0.8,1.1,0.7,0.4,1.8,2.2,3.9,0.3,0.1,1.7,0.9,7.3
SF,7,0,19.7,2.7,5.1,0.528,1.3,2.7,0.474,1.4,2.4,0.588,0.653,0.6,0.7,0.8,0.7,2.9,3.6,1.3,1.1,0.6,0.3,2.4,7.3
SG,9,1,17.6,2.7,5.7,0.471,1.2,3.4,0.355,1.4,2.2,0.65,0.578,0.7,1.0,0.667,0.7,2.0,2.7,1.2,1.3,0.3,0.3,0.8,7.2
PG,8,0,18.4,2.4,7.5,0.317,1.1,3.5,0.321,1.3,4.0,0.313,0.392,1.3,1.6,0.769,1.1,2.9,4.0,2.0,1.1,0.4,1.1,1.3,7.1
SG,8,0,19.9,2.9,6.1,0.469,1.0,2.6,0.381,1.9,3.5,0.536,0.551,0.4,0.5,0.75,1.0,1.9,2.9,1.0,1.6,0.3,0.5,1.9,7.1
C,7,0,17.1,2.6,3.4,0.75,0.0,0.0,,2.6,3.4,0.75,0.75,2.0,2.6,0.778,1.7,4.1,5.9,0.4,0.3,1.7,1.0,2.7,7.1
C,1,1,28.0,3.0,10.0,0.3,0.0,0.0,,3.0,10.0,0.3,0.3,1.0,1.0,1.0,4.0,3.0,7.0,4.0,0.0,3.0,0.0,1.0,7.0
PG,8,1,23.6,2.9,6.4,0.451,0.9,2.5,0.35,2.0,3.9,0.516,0.52,0.4,1.3,0.3,1.0,3.0,4.0,3.0,1.4,0.6,1.4,1.5,7.0
C,8,0,19.0,2.6,4.3,0.618,0.0,0.0,,2.6,4.3,0.618,0.618,1.8,2.1,0.824,1.3,3.9,5.1,2.3,0.5,1.6,1.3,2.3,7.0
C,8,0,17.0,2.9,4.8,0.605,0.0,0.3,0.0,2.9,4.5,0.639,0.605,1.1,1.8,0.643,2.4,2.0,4.4,1.1,1.3,0.3,0.9,2.9,6.9
