Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
C,8,0,12.4,1.9,2.1,0.882,0.0,0.0,,1.9,2.1,0.882,0.882,0.1,0.1,1.0,1.0,2.3,3.3,0.9,0.9,0.5,0.6,1.5,3.9
SG,5,0,18.0,1.4,5.0,0.28,0.2,2.0,0.1,1.2,3.0,0.4,0.3,0.8,1.0,0.8,0.2,3.2,3.4,0.8,0.2,0.2,0.6,1.8,3.8
SG,5,0,10.0,1.6,3.4,0.471,0.2,0.8,0.25,1.4,2.6,0.538,0.5,0.4,0.4,1.0,1.0,1.4,2.4,0.4,0.2,0.2,0.6,1.0,3.8
SF,5,0,20.0,1.6,3.2,0.5,0.6,1.6,0.375,1.0,1.6,0.625,0.594,0.0,0.0,,1.4,4.0,5.4,1.2,0.6,1.0,0.2,0.8,3.8
PF,5,0,11.6,1.2,2.8,0.429,0.6,2.0,0.3,0.6,0.8,0.75,0.536,0.8,0.8,1.0,0.2,1.2,1.4,0.2,1.0,0.2,0.4,1.6,3.8
PF,5,0,8.4,1.4,2.8,0.5,0.4,0.6,0.667,1.0,2.2,0.455,0.571,0.6,2.0,0.3,0.4,1.0,1.4,1.4,0.4,0.2,0.4,1.6,3.8
PF,7,0,18.3,1.6,3.9,0.407,0.6,2.0,0.286,1.0,1.9,0.538,0.481,0.0,0.0,,0.9,2.7,3.6,0.9,0.6,0.4,0.3,1.1,3.7
PF,5,0,7.2,1.2,2.6,0.462,0.0,0.2,0.0,1.2,2.4,0.5,0.462,1.2,1.6,0.75,0.6,0.8,1.4,0.6,0.2,0.6,0.4,0.6,3.6
SF,4,0,9.5,1.0,2.3,0.444,0.5,1.5,0.333,0.5,0.8,0.667,0.556,1.0,1.0,1.0,0.8,1.0,1.8,0.0,1.8,0.5,0.5,1.8,3.5
C,2,0,3.0,1.5,2.5,0.6,0.0,0.0,,1.5,2.5,0.6,0.6,0.5,1.0,0.5,0.5,1.0,1.5,0.0,0.0,0.0,0.0,1.5,3.5
PG,8,0,13.1,1.3,4.3,0.294,0.1,1.6,0.077,1.1,2.6,0.429,0.309,0.9,1.0,0.875,0.3,0.9,1.1,1.5,0.5,0.1,0.5,0.9,3.5
SF,5,0,9.0,1.2,2.4,0.5,1.0,2.0,0.5,0.2,0.4,0.5,0.708,0.0,0.0,,0.2,0.8,1.0,0.4,0.2,0.0,0.4,0.2,3.4
SG,7,0,14.0,1.3,3.6,0.36,0.9,2.7,0.316,0.4,0.9,0.5,0.48,0.0,0.0,,0.3,0.7,1.0,0.9,0.3,0.0,0.4,1.7,3.4
PF,5,0,11.2,1.2,3.6,0.333,0.4,2.4,0.167,0.8,1.2,0.667,0.389,0.6,0.8,0.75,0.4,2.0,2.4,0.4,0.6,1.2,0.6,1.4,3.4
PF,5,1,18.0,0.8,3.2,0.25,0.6,1.8,0.333,0.2,1.4,0.143,0.344,1.2,2.0,0.6,0.8,3.4,4.2,2.0,0.2,0.2,0.8,1.6,3.4
PF,5,0,12.2,1.4,4.0,0.35,0.4,2.4,0.167,1.0,1.6,0.625,0.4,0.2,0.4,0.5,0.6,1.0,1.6,0.4,0.2,0.0,0.4,1.6,3.4
PF,9,0,10.7,1.3,2.4,0.545,0.1,0.4,0.25,1.2,2.0,0.611,0.568,0.7,1.1,0.6,0.7,1.7,2.3,0.6,0.2,0.6,0.4,1.2,3.4
SG,7,2,19.3,1.3,4.6,0.281,0.7,2.9,0.25,0.6,1.7,0.333,0.359,0.0,0.6,0.0,0.1,2.0,2.1,2.9,0.9,0.9,1.1,1.7,3.3
SF-PF,7,3,15.3,1.0,2.6,0.389,0.6,2.0,0.286,0.4,0.6,0.75,0.5,0.7,0.9,0.833,0.7,1.4,2.1,1.0,1.9,0.6,0.3,2.0,3.3
C,3,0,6.7,1.7,3.0,0.556,0.0,0.3,0.0,1.7,2.7,0.625,0.556,0.0,0.3,0.0,0.7,2.0,2.7,1.0,0.0,0.3,0.0,0.7,3.3
PG,3,0,10.7,1.3,3.0,0.444,0.7,1.7,0.4,0.7,1.3,0.5,0.556,0.0,0.0,,0.0,0.3,0.3,2.3,0.0,0.0,1.3,0.7,3.3
PF,4,0,4.0,1.3,2.5,0.5,0.5,1.3,0.4,0.8,1.3,0.6,0.6,0.3,0.3,1.0,0.0,1.0,1.0,0.3,0.3,0.0,0.0,0.3,3.3
PF,7,3,17.9,1.1,3.3,0.348,1.0,3.0,0.333,0.1,0.3,0.5,0.5,0.0,0.3,0.0,0.9,2.6,3.4,0.6,0.9,0.3,0.6,2.0,3.3
PF,3,0,9.0,1.3,4.0,0.333,0.0,0.7,0.0,1.3,3.3,0.4,0.333,0.7,0.7,1.0,0.3,2.0,2.3,1.7,0.3,0.3,0.0,0.7,3.3
SG,9,1,14.7,1.2,3.7,0.333,0.8,2.4,0.318,0.4,1.2,0.364,0.439,0.0,0.2,0.0,0.4,1.3,1.8,1.0,0.1,0.4,0.7,1.1,3.2
SG,8,0,14.1,1.1,4.1,0.273,0.6,2.6,0.238,0.5,1.5,0.333,0.348,0.3,0.3,1.0,0.5,1.1,1.6,0.9,0.3,0.0,0.6,1.6,3.1
PG,7,0,18.7,1.1,4.9,0.235,0.4,2.9,0.15,0.7,2.0,0.357,0.279,0.4,0.4,1.0,1.0,1.9,2.9,3.7,0.1,0.0,0.9,1.7,3.1
PF,3,3,23.0,1.0,3.0,0.333,0.7,2.7,0.25,0.3,0.3,1.0,0.444,0.3,0.7,0.5,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
SG,3,0,8.7,1.0,2.3,0.429,0.7,1.7,0.4,0.3,0.7,0.5,0.571,0.3,0.3,1.0,0.0,0.7,0.7,1.0,0.0,0.0,0.0,1.3,3.0
SG,2,0,4.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0
SF,4,0,6.3,1.0,2.3,0.444,0.8,2.0,0.375,0.3,0.3,1.0,0.611,0.3,0.3,1.0,0.0,0.8,0.8,0.3,0.0,0.0,0.0,0.3,3.0
C,6,0,9.7,1.2,1.5,0.778,0.0,0.0,,1.2,1.5,0.778,0.778,0.7,0.8,0.8,0.5,1.5,2.0,0.5,0.5,0.2,0.2,1.0,3.0
PF,1,0,6.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
PF,3,0,5.7,1.3,2.3,0.571,0.3,0.3,1.0,1.0,2.0,0.5,0.643,0.0,0.0,,1.3,0.3,1.7,0.7,0.3,0.0,1.0,1.0,3.0
PF,6,0,11.2,1.2,1.7,0.7,0.0,0.0,,1.2,1.7,0.7,0.7,0.7,1.2,0.571,1.3,2.0,3.3,0.8,0.2,0.5,1.0,1.3,3.0
PG,1,0,3.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
SF,4,0,13.5,0.8,3.5,0.214,0.3,1.8,0.143,0.5,1.8,0.286,0.25,1.0,1.0,1.0,1.3,1.5,2.8,0.5,0.8,0.0,0.5,0.8,2.8
PG,5,0,10.2,1.0,2.2,0.455,0.6,1.8,0.333,0.4,0.4,1.0,0.591,0.2,0.2,1.0,0.0,0.4,0.4,0.8,0.6,0.0,0.2,1.4,2.8
C,5,0,13.6,1.0,3.2,0.313,0.4,1.8,0.222,0.6,1.4,0.429,0.375,0.4,0.4,1.0,1.2,1.2,2.4,1.4,0.6,0.4,1.0,1.0,2.8
C,5,1,11.4,1.0,2.8,0.357,0.4,1.6,0.25,0.6,1.2,0.5,0.429,0.4,0.4,1.0,0.2,2.0,2.2,0.8,0.2,0.2,0.6,1.4,2.8
PF,3,0,18.0,1.0,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1.0,0.5,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
SF,3,0,6.7,1.0,2.7,0.375,0.7,2.0,0.333,0.3,0.7,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.3,0.3,0.0,0.0,0.0,2.7
C,6,0,5.2,1.2,1.7,0.7,0.2,0.5,0.333,1.0,1.2,0.857,0.75,0.2,0.3,0.5,0.5,1.3,1.8,0.5,0.0,0.2,0.2,1.0,2.7
PG,7,0,16.9,1.1,2.6,0.444,0.1,1.0,0.143,1.0,1.6,0.636,0.472,0.1,0.1,1.0,1.4,2.4,3.9,2.4,0.6,0.7,0.7,1.9,2.6
C,4,0,6.5,1.0,1.3,0.8,0.0,0.3,0.0,1.0,1.0,1.0,0.8,0.5,1.3,0.4,1.0,1.5,2.5,0.5,0.3,0.8,0.0,0.3,2.5
SF,2,0,3.5,1.0,1.5,0.667,0.5,0.5,1.0,0.5,1.0,0.5,0.833,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5
SG,4,0,2.3,1.0,1.3,0.8,0.5,0.8,0.667,0.5,0.5,1.0,1.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3,2.5
SG,4,0,10.8,1.0,2.5,0.4,0.0,0.5,0.0,1.0,2.0,0.5,0.4,0.5,0.8,0.667,0.8,2.5,3.3,1.5,0.0,0.0,1.0,1.5,2.5
SG,2,0,2.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.25,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,2.5
PG,7,0,5.7,1.0,2.1,0.467,0.1,0.4,0.333,0.9,1.7,0.5,0.5,0.3,0.6,0.5,0.3,1.6,1.9,0.3,0.3,0.1,0.1,0.4,2.4
SG,7,0,6.4,0.9,2.0,0.429,0.6,1.1,0.5,0.3,0.9,0.333,0.571,0.1,0.1,1.0,0.0,0.7,0.7,0.0,0.1,0.1,0.4,1.1,2.4
PG,3,0,3.7,0.7,1.3,0.5,0.3,0.3,1.0,0.3,1.0,0.333,0.625,0.7,0.7,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,2.3
SF,3,0,9.7,1.0,2.3,0.429,0.0,1.0,0.0,1.0,1.3,0.75,0.429,0.3,0.3,1.0,0.3,1.0,1.3,0.7,0.3,0.3,1.0,0.3,2.3
SG,3,0,6.0,1.0,2.7,0.375,0.0,0.3,0.0,1.0,2.3,0.429,0.375,0.3,0.7,0.5,0.3,0.3,0.7,1.0,0.0,0.3,0.3,0.7,2.3
SF,3,0,7.7,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.3,0.7,0.5,0.0,1.0,1.0,0.3,0.3,0.0,0.7,0.3,2.3
SF,7,0,18.3,0.7,2.9,0.25,0.4,2.0,0.214,0.3,0.9,0.333,0.325,0.3,0.4,0.667,0.3,2.1,2.4,2.4,0.7,0.0,1.0,1.6,2.1
PF,3,0,5.3,0.7,1.7,0.4,0.0,0.0,,0.7,1.7,0.4,0.4,0.7,1.3,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,2.0
PF,5,0,7.8,0.8,2.0,0.4,0.4,1.4,0.286,0.4,0.6,0.667,0.5,0.0,0.0,,0.2,1.2,1.4,0.4,0.2,0.2,0.0,1.2,2.0
SF,5,0,6.6,0.6,1.8,0.333,0.0,0.8,0.0,0.6,1.0,0.6,0.333,0.8,0.8,1.0,0.2,1.8,2.0,0.4,0.2,0.0,0.6,0.2,2.0
C,2,0,9.5,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,0.5,1.5,1.0,0.0,0.0,0.0,2.5,2.0
C,4,0,4.5,0.8,1.5,0.5,0.0,0.0,,0.8,1.5,0.5,0.5,0.5,0.5,1.0,0.8,0.0,0.8,1.0,0.5,0.0,0.5,0.0,2.0
PG,1,0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0
SG,3,0,5.7,0.7,1.3,0.5,0.7,1.3,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.3,2.0
PF,1,0,7.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0
SG,2,0,7.5,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0
PG,3,0,3.3,1.0,2.0,0.5,0.0,0.3,0.0,1.0,1.7,0.6,0.5,0.0,0.0,,0.7,0.3,1.0,1.0,0.0,0.3,0.0,0.3,2.0
C,1,0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
SF,1,0,20.0,1.0,7.0,0.143,0.0,3.0,0.0,1.0,4.0,0.25,0.143,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0
SF,5,0,7.8,0.8,2.2,0.364,0.2,1.0,0.2,0.6,1.2,0.5,0.409,0.2,0.4,0.5,0.2,0.6,0.8,0.4,0.4,0.2,0.6,1.0,2.0
SG,3,0,7.0,0.7,2.0,0.333,0.7,1.7,0.4,0.0,0.3,0.0,0.5,0.0,0.0,,0.3,0.7,1.0,1.0,0.7,0.0,0.3,0.0,2.0
SG,4,0,5.5,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.5,0.5,0.5,1.0,0.3,0.8,1.0,0.8,0.0,0.0,0.3,0.8,2.0
SF,3,0,6.7,0.7,1.0,0.667,0.0,0.3,0.0,0.7,0.7,1.0,0.667,0.7,0.7,1.0,0.3,0.7,1.0,0.0,0.0,0.3,0.0,1.0,2.0
SG,2,0,2.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
PF,3,3,22.0,0.7,1.7,0.4,0.7,1.7,0.4,0.0,0.0,,0.6,0.0,0.0,,0.3,4.3,4.7,0.0,1.0,0.7,0.7,3.0,2.0
C,2,0,8.5,1.0,3.5,0.286,0.0,0.0,,1.0,3.5,0.286,0.286,0.0,0.0,,0.0,2.5,2.5,0.5,0.0,0.0,0.5,2.0,2.0
SF,5,0,7.2,0.8,3.6,0.222,0.2,2.0,0.1,0.6,1.6,0.375,0.25,0.0,0.0,,0.0,0.8,0.8,0.0,0.2,0.6,0.6,0.0,1.8
SG,5,0,9.0,0.8,2.4,0.333,0.2,1.0,0.2,0.6,1.4,0.429,0.375,0.0,0.0,,0.4,0.8,1.2,0.8,0.4,0.2,0.6,0.8,1.8
PG,5,0,11.8,0.6,1.2,0.5,0.6,1.0,0.6,0.0,0.2,0.0,0.75,0.0,0.0,,0.0,0.6,0.6,3.0,0.2,0.2,0.4,0.4,1.8
SG,4,0,2.8,0.8,2.0,0.375,0.3,1.0,0.25,0.5,1.0,0.5,0.438,0.0,0.5,0.0,0.0,1.0,1.0,0.8,0.0,0.0,0.3,0.3,1.8
SF-PF,6,3,19.8,0.5,1.8,0.273,0.3,1.3,0.25,0.2,0.5,0.333,0.364,0.5,0.5,1.0,1.7,2.7,4.3,0.5,0.8,0.5,0.3,2.8,1.8
SG,3,0,3.0,0.7,1.3,0.5,0.3,1.0,0.333,0.3,0.3,1.0,0.625,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,1.7
C,3,0,6.3,0.7,1.7,0.4,0.0,1.0,0.0,0.7,0.7,1.0,0.4,0.3,0.7,0.5,1.3,1.0,2.3,0.3,0.3,0.0,0.0,0.7,1.7
SF,3,0,17.7,0.3,2.0,0.167,0.0,1.0,0.0,0.3,1.0,0.333,0.167,1.0,1.0,1.0,3.0,1.0,4.0,1.0,0.7,0.3,0.0,2.7,1.7
PG,5,0,4.4,0.6,1.6,0.375,0.2,1.2,0.167,0.4,0.4,1.0,0.438,0.2,0.4,0.5,0.0,0.2,0.2,0.2,0.6,0.0,0.0,0.4,1.6
SF,5,0,2.6,0.6,1.2,0.5,0.0,0.4,0.0,0.6,0.8,0.75,0.5,0.4,0.6,0.667,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.4,1.6
SG,2,0,4.5,0.5,2.0,0.25,0.5,1.5,0.333,0.0,0.5,0.0,0.375,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5
C,6,0,9.2,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.5,0.7,0.75,0.3,1.3,1.7,0.3,0.2,0.3,0.7,1.8,1.5
SG,2,0,7.5,0.5,2.5,0.2,0.0,2.0,0.0,0.5,0.5,1.0,0.2,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,1.5
SG,2,0,12.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,1.5,2.0,0.75,0.0,2.5,2.5,0.5,1.0,0.0,1.0,1.0,1.5
C,4,0,11.0,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,1.0,1.5,0.667,0.8,3.8,4.5,0.3,0.0,1.3,0.5,1.5,1.5
C,5,0,6.6,0.6,0.6,1.0,0.0,0.0,,0.6,0.6,1.0,1.0,0.2,0.4,0.5,0.4,1.0,1.4,0.4,0.0,0.2,0.4,0.6,1.4
PF,3,0,3.0,0.3,1.3,0.25,0.0,1.0,0.0,0.3,0.3,1.0,0.25,0.7,0.7,1.0,0.0,0.7,0.7,0.0,0.0,0.3,0.3,0.3,1.3
C,3,0,3.0,0.3,1.0,0.333,0.0,0.3,0.0,0.3,0.7,0.5,0.333,0.7,0.7,1.0,0.0,0.7,0.7,0.3,0.0,0.3,0.3,0.0,1.3
SF,5,0,10.4,0.4,1.6,0.25,0.4,1.4,0.286,0.0,0.2,0.0,0.375,0.0,0.0,,0.0,1.4,1.4,0.6,0.2,0.2,0.4,0.8,1.2
SG,5,0,8.8,0.4,2.6,0.154,0.0,0.6,0.0,0.4,2.0,0.2,0.154,0.4,0.8,0.5,0.8,0.8,1.6,1.0,0.2,0.8,0.8,1.6,1.2
PF,2,0,5.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.5,1.0,1.0
C,2,0,4.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0
PF,2,0,3.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,1.0
PF,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C,1,0,12.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0
PG,5,0,3.8,0.2,0.8,0.25,0.2,0.4,0.5,0.0,0.4,0.0,0.375,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.4,1.0
SF,3,0,2.3,0.3,0.7,0.5,0.3,0.7,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0
SF,5,0,6.2,0.2,1.2,0.167,0.2,0.8,0.25,0.0,0.4,0.0,0.25,0.2,0.4,0.5,0.0,1.0,1.0,0.6,0.2,0.2,0.2,1.0,0.8
SF,6,0,9.3,0.3,2.3,0.143,0.2,1.8,0.091,0.2,0.5,0.333,0.179,0.0,0.0,,0.2,1.0,1.2,0.7,0.3,0.2,0.2,0.7,0.8
C,5,0,6.2,0.2,1.4,0.143,0.0,0.0,,0.2,1.4,0.143,0.143,0.4,1.0,0.4,1.0,1.2,2.2,1.2,0.0,0.0,0.0,0.6,0.8
SF,3,0,4.0,0.3,1.3,0.25,0.0,0.7,0.0,0.3,0.7,0.5,0.25,0.0,0.0,,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.0,0.7
SG,3,0,5.7,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.0,0.0,,0.3,1.3,1.7,1.3,1.0,0.0,0.3,2.3,0.7
PG,3,0,2.3,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7
SF,3,0,4.0,0.3,1.0,0.333,0.0,0.7,0.0,0.3,0.3,1.0,0.333,0.0,0.0,,0.7,1.0,1.7,0.3,0.0,0.0,0.3,0.0,0.7
PF,3,0,2.0,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.7
C,4,0,2.3,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,1.0,1.5,0.0,0.0,0.5,0.8,0.8,0.5
SG,2,0,2.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
SF,4,0,6.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.3,0.3,0.5,0.0,0.0,0.5,0.3,0.5
SF,4,0,2.5,0.3,1.0,0.25,0.0,0.3,0.0,0.3,0.8,0.333,0.25,0.0,0.0,,0.0,0.3,0.3,0.8,0.0,0.0,0.0,0.5,0.5
PF,4,0,2.8,0.3,0.8,0.333,0.0,0.5,0.0,0.3,0.3,1.0,0.333,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.0,1.0,0.5
PF,3,0,6.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,0.0,,0.0,0.3,0.7,0.5,0.0,1.0,1.0,0.0,0.0,0.3,1.0,1.0,0.3
PG,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
SF,2,0,4.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
SG,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SF,1,0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SG,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2,0,3.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
SG,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
SF,1,0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SF,1,0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SG,2,0,9.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0
PF,2,0,2.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
PG,1,0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SF,1,0,6.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,3,0,3.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.3,0.3,0.7,0.7,0.3,0.0,0.0,0.7,0.0
SF,3,0,4.3,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0
SG,1,0,19.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0
SF,3,0,2.7,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.7,0.0
SG,2,0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
SF,1,0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SF,1,0,8.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
PF,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
SF,3,0,6.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.3,0.3,0.0,0.3,0.3,0.0,0.7,0.0
C,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SF,4,0,2.5,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
PF,1,0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG,1,0,5.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
SG,2,0,3.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SF,1,0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
